steps,mean_mse,mean_lpips,mean_flow_magnitude,flow_magnitude_variance,mean_warp_error,warp_error_variance,flicker_index,mean_mse_delta,mean_lpips_delta,mean_flow_magnitude_delta,flow_magnitude_variance_delta,mean_warp_error_delta,warp_error_variance_delta,flicker_index_delta
15,0.004534070248094698,0.1330553685625394,1.134686295191447,0.15838438129801083,0.005313608197805782,9.282029114560218e-06,0.07816254932965551,-29.007434883679732,2.2013072348422424,6.790516084387634,13.9638599808586,-21.090303166783936,-126.8592431435079,-22.34432949046125
20,0.0037777886105080445,0.16543867488702138,1.1369067629178364,0.09295724109133073,0.004719307568545143,3.581086410865575e-06,0.06565711407789163,-7.4890311589730185,-21.601152298832346,6.608114435839372,49.504603012094734,-7.546955465856661,12.475759042158852,-2.7701331012072585
25,0.003514580576059719,0.1360502526164055,1.217350689570109,0.1840905243572914,0.004388136835768819,4.09153666649965e-06,0.06388734946293491,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.004034658296344181,0.1448169767856598,1.4301785429318745,0.12907632224941384,0.005061942432075739,3.1872517243754636e-06,0.06681408254163605,-14.797717936162211,-6.4437397216542776,-17.482871220693426,29.884320390713565,-15.355163740897032,22.101352519414448,-4.581083897367078
40,0.0037860003688062233,0.12559520800908405,1.0508935610453287,0.12608629946491234,0.004637166881002486,4.508929538044475e-06,0.06665876068707023,-7.722679474055472,7.6846932705075535,13.673720313376775,31.50853369280527,-5.675074742513957,-10.201371894386774,-4.337965571326752
50,0.003552903386298567,0.1132794439792633,0.9007536590099334,0.18470229629603022,0.004327427929577728,5.823774067933817e-06,0.06584071900163378,-1.0903949819757095,16.73705722645339,26.00705230404704,-0.33232125383676164,1.383477964867385,-42.33708610305851,-3.057521645708822
