video_name,experiment_id,cfg,steps,phase,mean_mse,std_mse,mean_lpips,std_lpips,mean_flow_magnitude,flow_magnitude_variance,mean_warp_error,warp_error_variance,temporal_consistency_score,flicker_index
birds_flying,birds_flying_cfg5.0_steps25,5.0,25,cfg_ablation,0.05866918365160624,0.00831474905078328,0.29688703616460166,0.013935664412907828,12.822185770670574,1.093994856355065,0.05960833008090655,6.39729684994677e-05,20.877506596482803,0.30155495022024426
birds_flying,birds_flying_cfg6.0_steps25,6.0,25,cfg_ablation,0.045917170991500215,0.008822472734335188,0.2519159704446793,0.016438821131751834,7.795804691314697,1.1706862497448673,0.04975096806883812,8.375431545124397e-05,17.40046906663294,0.2535135384116854
birds_flying,birds_flying_cfg7.0_steps25,7.0,25,cfg_ablation,0.038479355598489445,0.007120601932258522,0.23222587803999584,0.01287853960441409,6.738207785288493,0.4733965500816783,0.042682213336229326,5.1985366731952536e-05,15.592860824897652,0.22527994960546494
birds_flying,birds_flying_cfg7.5_steps15,7.5,15,steps_ablation,0.03323936847349008,0.0053700088717656405,0.20896434982617695,0.009938012857834471,5.198177687327067,0.3264552342663733,0.03855355369548003,3.146282538964561e-05,13.850373383721939,0.2048772530896323
birds_flying,birds_flying_cfg7.5_steps20,7.5,20,steps_ablation,0.03515415005385876,0.006599016872137362,0.21939262350400288,0.010422179871062117,6.16578696568807,0.40717985144052565,0.03946164858837922,4.274245549673245e-05,14.58290412089716,0.21355376073292323
birds_flying,birds_flying_cfg7.5_steps25,7.5,25,cfg_ablation,0.03777552271882693,0.00651032118278828,0.21666303674379986,0.008525948096758895,6.255764547983805,0.33433579680009845,0.04223533198237419,4.034266407591488e-05,14.689434286450062,0.22102593311241694
birds_flying,birds_flying_cfg7.5_steps25_prompt_baseline,7.5,25,prompt_ablation,0.03777552271882693,0.00651032118278828,0.21666303674379986,0.008525948096758895,6.255764547983805,0.33433579680009845,0.04223533198237419,4.034266407591488e-05,14.689434286450062,0.22102593311241694
birds_flying,birds_flying_cfg7.5_steps25_prompt_enhanced,7.5,25,prompt_ablation,0.021888249119122825,0.007551873850516688,0.21822951038678487,0.018804454508824106,3.611472495396932,0.2390617088967009,0.024303250511487327,5.69651970578055e-05,13.334134984592861,0.1796705424785614
birds_flying,birds_flying_cfg7.5_steps30,7.5,30,steps_ablation,0.04202644204099973,0.006722647109313875,0.21254651844501496,0.009712361782719498,6.234254042307536,0.3714351720019193,0.046854860087235765,4.151295641394246e-05,14.922329096206301,0.23574844002723694
birds_flying,birds_flying_cfg7.5_steps40,7.5,40,steps_ablation,0.054690175751845045,0.007708024458924571,0.24529574314753214,0.014739745537180972,7.39395891825358,0.5074232311366804,0.05889356508851051,5.835613457883526e-05,17.901848422870913,0.2721554605024202
birds_flying,birds_flying_cfg7.5_steps50,7.5,50,steps_ablation,0.06125471889972687,0.007891510421030952,0.2596265941858292,0.016027734931248396,8.178386974334718,0.9722387821641495,0.06540711969137192,6.072743228472584e-05,19.297521679502566,0.2896708995103836
birds_flying,birds_flying_cfg8.0_steps25,8.0,25,cfg_ablation,0.03791003090639909,0.006264903275791252,0.20585125784079233,0.00982036117601932,6.096076265970866,0.34032033649970095,0.04260993773738543,3.509973706933561e-05,14.171034742548281,0.21981594817978994
birds_flying,birds_flying_cfg9.0_steps25,9.0,25,cfg_ablation,0.03761983948449294,0.006061533840045462,0.19262661437193554,0.009803731694588138,5.858496220906575,0.32295378479855774,0.04230599602063497,3.024845078059125e-05,13.478113437109824,0.21749080504689897
corgi_beach,corgi_beach_cfg5.0_steps25,5.0,25,cfg_ablation,0.009581836747626464,0.004521137763690249,0.25439456701278684,0.033189487666375195,5.261304871241252,0.5777369661790731,0.010173164897908767,2.0194092567899076e-05,14.24912375785849,0.12266817848597254
corgi_beach,corgi_beach_cfg6.0_steps25,6.0,25,cfg_ablation,0.009102617669850589,0.004096643374610488,0.24462023973464966,0.03422977187633235,4.6534827709197994,0.3316345031371368,0.009836470211545626,1.7705105596286307e-05,13.74389488200916,0.11705527241740908
