prompt_type,mean_mse,mean_lpips,mean_flow_magnitude,flow_magnitude_variance,mean_warp_error,warp_error_variance,flicker_index,mean_mse_delta,mean_lpips_delta,mean_flow_magnitude_delta,flow_magnitude_variance_delta,mean_warp_error_delta,warp_error_variance_delta,flicker_index_delta
baseline,0.0038304992175350588,0.13792497515678406,4.144469912846883,0.16771350262751689,0.004224146467943986,5.361675589733337e-06,0.08012245116489274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enhanced,0.007015202535937229,0.1402869040767352,7.3516695658365885,0.5470222328281387,0.007487174061437448,1.3581858626891359e-05,0.11008363483207566,-83.14068578381122,-1.712473696128089,-77.38503886946168,-226.16469411115162,-77.24702773106425,-153.31369642912048,-37.39424247708365
