steps,mean_mse,mean_lpips,mean_flow_magnitude,flow_magnitude_variance,mean_warp_error,warp_error_variance,flicker_index,mean_mse_delta,mean_lpips_delta,mean_flow_magnitude_delta,flow_magnitude_variance_delta,mean_warp_error_delta,warp_error_variance_delta,flicker_index_delta
15,0.03323936847349008,0.20896434982617695,5.198177687327067,0.3264552342663733,0.03855355369548003,3.146282538964561e-05,0.2048772530896323,12.008183921373181,3.553299645996591,16.905797085946787,2.3570801000519235,8.717294535368282,22.01103692497752,7.306237686856042
20,0.03515415005385876,0.21939262350400288,6.16578696568807,0.40717985144052565,0.03946164858837922,4.274245549673245e-05,0.21355376073292323,6.9393418708715915,-1.2598303804957305,1.4383147192573706,-21.787692295474162,6.567211061943332,-5.948519949752855,3.3806767713964403
25,0.03777552271882693,0.21666303674379986,6.255764547983805,0.33433579680009845,0.04223533198237419,4.034266407591488e-05,0.22102593311241694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.04202644204099973,0.21254651844501496,6.234254042307536,0.3714351720019193,0.046854860087235765,4.151295641394246e-05,0.23574844002723694,-11.25310522851928,1.8999633535334446,0.34385094757445284,-11.096441229714562,-10.937591556731256,-2.9008801595883273,-6.660986205329995
40,0.054690175751845045,0.24529574314753214,7.39395891825358,0.5074232311366804,0.05889356508851051,5.835613457883526e-05,0.2721554605024202,-44.77675440501061,-13.215316665938703,-18.19432879130031,-51.770536087726214,-39.44146363780969,-44.65116748121419,-23.13281824897806
50,0.06125471889972687,0.2596265941858292,8.178386974334718,0.9722387821641495,0.06540711969137192,6.072743228472584e-05,0.2896708995103836,-62.15452359365541,-19.829666420134668,-30.733612360307934,-190.79709425953493,-54.86351502734219,-50.52905819618627,-31.057426353247358
