steps,mean_mse,mean_lpips,mean_flow_magnitude,flow_magnitude_variance,mean_warp_error,warp_error_variance,flicker_index,mean_mse_delta,mean_lpips_delta,mean_flow_magnitude_delta,flow_magnitude_variance_delta,mean_warp_error_delta,warp_error_variance_delta,flicker_index_delta
15,0.0062930301763117315,0.20103484590848286,2.992619593938192,0.10052569388859005,0.007083383078376452,7.927459317264238e-06,0.09513535137687411,29.0482474997522,6.200787619642276,44.753151126549604,77.84534626680623,27.571214345403106,47.95279487998268,18.65237343619594
20,0.007021497438351313,0.1842828094959259,3.2772223631540935,0.19929896248871246,0.00790485336134831,8.575120367124406e-06,0.10254646039434842,20.83502947398737,14.01698393209764,39.499090031819925,56.07690598768043,19.17154226941155,43.700619477845024,12.315337622990432
25,0.00886944994951288,0.21432466308275858,5.416814994812012,0.45374527220876787,0.009779789919654528,1.5231287249688154e-05,0.11694914208991188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.009217292008300623,0.23246341248353322,4.238519938786824,0.22235033493497264,0.010344414847592513,1.4658346821820643e-05,0.1139717660844326,-3.921799669288927,-8.463211438139814,21.752543831637354,50.99666078004458,-5.773385037681159,3.7616021448170214,2.545872464109426
40,0.010685729359587033,0.24745167791843414,4.763128693898519,0.5020141344521749,0.011747412973393996,1.7604164712002385e-05,0.12336577049323491,-20.477926144381772,-15.45646420677401,12.067724327664225,-10.637876623692637,-20.11927730456785,-15.578968628293799,-5.486682748292292
50,0.010818779561668634,0.25089215437571205,5.062204678853353,0.3837035359157704,0.011697272739062707,1.7347808284239516e-05,0.1252871107842241,-21.978021447235452,-17.06172811237941,6.546472720561614,15.436356163458015,-19.606584958993817,-13.89587760939047,-7.129568071480084
