cfg,mean_mse,mean_lpips,mean_flow_magnitude,flow_magnitude_variance,mean_warp_error,warp_error_variance,flicker_index,mean_mse_delta,mean_lpips_delta,mean_flow_magnitude_delta,flow_magnitude_variance_delta,mean_warp_error_delta,warp_error_variance_delta,flicker_index_delta
5.0,0.0033014110289514066,0.10008082414666812,0.40651245911916095,0.004975710516654018,0.0034453648452957473,1.0381758525556118e-05,0.07340433581599168,-64.37499038790364,-42.94209048465971,-30.756174163896077,-93.0152054432308,-60.78175275322691,-93.30773814097279,-28.017594145710795
6.0,0.002544731681700796,0.08357422947883605,0.3655836671590805,0.003957184372709216,0.0026632556691765785,7.978081205140023e-06,0.06409120147249528,-26.700444764740304,-19.36627395116442,-17.591283076802963,-53.505062667680455,-24.28376492691065,-48.551406649868305,-11.775432979660664
7.0,0.0020655958098359404,0.07328896497686704,0.3126169115304947,0.002468983441002184,0.0021852814747641484,5.792606415065311e-06,0.0576106102338859,-2.844598388259122,-4.676175007289381,-0.5543382833403055,4.224463118197092,-1.9785716602609908,-7.8579935451910705,-0.47324367727066424
7.5,0.002008463100840648,0.07001494367917378,0.31089350978533425,0.002577885252733346,0.002142882999032736,5.370586105552098e-06,0.05733925583107131,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0018334136034051578,0.0644409030675888,0.2820877730846405,0.0015201549165930158,0.0019504012365359814,4.721522503505266e-06,0.05426929585103478,8.715594394650463,7.961215590098374,9.265467368741,41.03093165294355,8.982373866591773,12.085526407924682,5.354028292730234
9.0,0.0015768631380827477,0.05662727430462837,0.2638495981693268,0.0013058286996371334,0.001711767044616863,3.4006593628694925e-06,0.05015920741217477,21.489066071328523,19.121159956781668,15.131841011570277,49.34496412310999,20.118501785233814,36.679921035920096,12.522046745862673
