prompt_type,mean_mse,mean_lpips,mean_flow_magnitude,flow_magnitude_variance,mean_warp_error,warp_error_variance,flicker_index,mean_mse_delta,mean_lpips_delta,mean_flow_magnitude_delta,flow_magnitude_variance_delta,mean_warp_error_delta,warp_error_variance_delta,flicker_index_delta
baseline,0.002008463100840648,0.07001494367917378,0.31089350978533425,0.002577885252733346,0.002142882999032736,5.370586105552098e-06,0.05733925583107131,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enhanced,0.005380304848464827,0.09767020866274834,0.8513095080852509,0.27644932836739616,0.006617069275428851,2.3637175436692823e-05,0.08657592056053025,-167.88168755566804,-39.49908909489093,-173.82672242758076,-10623.880284208748,-208.79284022579364,-340.1228277907465,-50.98891554434164
