prompt_type,mean_mse,mean_lpips,mean_flow_magnitude,flow_magnitude_variance,mean_warp_error,warp_error_variance,flicker_index,mean_mse_delta,mean_lpips_delta,mean_flow_magnitude_delta,flow_magnitude_variance_delta,mean_warp_error_delta,warp_error_variance_delta,flicker_index_delta
baseline,0.004491347330622375,0.09700839072465897,0.3306559642155965,0.0017019268642297744,0.004527015945253273,7.233808949196823e-06,0.08572944439947605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enhanced,0.004519113712012768,0.09706040720144908,0.258942574262619,0.0012477873125673019,0.00454109450802207,1.0843679980306732e-05,0.08781733417085238,-0.6182194193951558,-0.05362059549853666,21.68821908992346,26.683846480559453,-0.310989909005258,-49.90276984728381,-2.4354406890208353
