cfg,mean_mse,mean_lpips,mean_flow_magnitude,flow_magnitude_variance,mean_warp_error,warp_error_variance,flicker_index,mean_mse_delta,mean_lpips_delta,mean_flow_magnitude_delta,flow_magnitude_variance_delta,mean_warp_error_delta,warp_error_variance_delta,flicker_index_delta
5.0,0.00564382211305201,0.13641511549552282,0.3884986837704976,0.003298398283555631,0.005557758500799537,1.0735910272974256e-05,0.09724989639861244,-25.65988995266449,-40.6219755595295,-17.49332412379718,-93.80376165860436,-22.768697261316955,-48.412964018994096,-13.438150777525387
6.0,0.004979671499071022,0.11852924525737762,0.35725896755854286,0.0017740196737298277,0.004948209202848375,9.091420860943124e-06,0.09116217706884656,-10.872554102400702,-22.184528958739005,-8.045523511440575,-4.235952261831163,-9.303993241657055,-25.679582150874392,-6.337067395486021
7.0,0.0046217659410710136,0.1026246910293897,0.33802179495493573,0.0018127033835518664,0.004633826444235941,7.838175963767249e-06,0.0874480748815196,-2.9037747661917415,-5.789499509038965,-2.227641880530696,-6.508888345929313,-2.3594018725439354,-8.354754995810746,-2.004714359322322
7.5,0.004491347330622375,0.09700839072465897,0.3306559642155965,0.0017019268642297744,0.004527015945253273,7.233808949196823e-06,0.08572944439947605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.004396700859069824,0.09211456204454103,0.32152211566766103,0.0017800923304920025,0.004460277742085358,7.5274123937299676e-06,0.08486274523394448,2.1073068855584465,5.044747823936382,2.762341991805102,-4.592762938588594,1.4742206339673318,-4.05876691788693,1.010970235025657
9.0,0.004433469606253008,0.08239214022954305,0.31409690181414285,0.0017237247029389697,0.004570832763177653,6.638271407397291e-06,0.08468435305569853,1.2886494877550874,15.066996149437772,5.007943056686167,-1.2807741135844926,-0.9678962578058482,8.232696577722788,1.2190576424450799
