prompt_type,mean_mse,mean_lpips,mean_flow_magnitude,flow_magnitude_variance,mean_warp_error,warp_error_variance,flicker_index,mean_mse_delta,mean_lpips_delta,mean_flow_magnitude_delta,flow_magnitude_variance_delta,mean_warp_error_delta,warp_error_variance_delta,flicker_index_delta
baseline,0.003514580576059719,0.1360502526164055,1.217350689570109,0.1840905243572914,0.004388136835768819,4.09153666649965e-06,0.06388734946293491,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enhanced,0.0019042573636397719,0.09195763443907103,0.3089625914891561,0.0014022845722104506,0.002137991281536718,2.7978434641720695e-06,0.05319416695939643,45.81836089885067,32.40906748012727,74.6200832565132,99.23826357868978,51.27792588167699,31.61876106158295,16.737558520474025
