prompt_type,mean_mse,mean_lpips,mean_flow_magnitude,flow_magnitude_variance,mean_warp_error,warp_error_variance,flicker_index,mean_mse_delta,mean_lpips_delta,mean_flow_magnitude_delta,flow_magnitude_variance_delta,mean_warp_error_delta,warp_error_variance_delta,flicker_index_delta
baseline,0.00886944994951288,0.21432466308275858,5.416814994812012,0.45374527220876787,0.009779789919654528,1.5231287249688154e-05,0.11694914208991188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enhanced,0.006386156240478158,0.18636117080847422,5.887143389383952,0.38623663566019073,0.0072409752601136764,8.721185613352211e-06,0.09836712319936071,27.998283131087593,13.047258244603716,-8.682747980545761,14.878091449846877,25.95980773000629,42.741637851188386,15.888974094624048
