cfg,mean_mse,mean_lpips,mean_flow_magnitude,flow_magnitude_variance,mean_warp_error,warp_error_variance,flicker_index,mean_mse_delta,mean_lpips_delta,mean_flow_magnitude_delta,flow_magnitude_variance_delta,mean_warp_error_delta,warp_error_variance_delta,flicker_index_delta
5.0,0.004044115946938594,0.15158560474713642,1.144004185994466,0.23253084367474564,0.004854832729324699,6.873806403621911e-06,0.0733183127428804,-15.066815496731348,-11.418833726485571,6.025092375110431,-26.31331486863443,-10.635399738488625,-68.00060622461731,-14.761863434977837
6.0,0.003956559463404119,0.14574926048517228,1.3011271476745605,0.19975021295051937,0.004731785769884785,5.687062823301049e-06,0.07007524317928723,-12.575579867339773,-7.128989239081533,-6.881867223818314,-8.506515285292428,-7.831317640662351,-38.99576826147295,-9.685632239199895
7.0,0.0037032944538320104,0.14208842863639196,1.3460464437802633,0.203742232292371,0.004600377023840944,4.96313340040102e-06,0.06622877504144396,-5.369456573502811,-4.4381953755066785,-10.571789650491061,-10.675024151128317,-4.836681170516418,-21.30242999012471,-3.6649283437051388
7.5,0.003514580576059719,0.1360502526164055,1.217350689570109,0.1840905243572914,0.004388136835768819,4.09153666649965e-06,0.06388734946293491,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0034417570491010944,0.13056115433573723,1.2300358613332112,0.14732176036002503,0.00439786734059453,3.4163451613880423e-06,0.06206860113888979,2.072040329781501,4.0346108699590655,-1.042031016352555,19.973197493806822,-0.22174570187500214,16.502149684735453,2.8468051020026897
9.0,0.003382210759446025,0.1202566425005595,1.0863608916600545,0.18353506609551606,0.0042944329868381224,3.153261313240487e-06,0.059425052787576406,3.7663047908293232,11.608659162417124,10.760235241359396,0.3017310443949159,2.1353903134216865,22.932101792988856,6.984632658688342
