hypothesis,guidance_scale,num_inference_steps,mse_mean,lpips_mean,flow_variance,flow_improvement
baseline,7.5,25,0.020591712246338528,0.29827332496643066,1.5428900718688965,0.0
cfg_only,5.5,25,0.017823336459696294,0.3350926478703817,3.4200737476348877,-121.66671560029978
steps_only,7.5,30,0.020180436285833516,0.2904668629169464,2.1173017024993896,-37.229588880218195
prompt_only,7.5,25,0.014632798669238885,0.2787923405567805,1.5072251558303833,2.311565592959738
recommended,5.5,30,0.01348109133541584,0.2872829705476761,1.1620781421661377,24.681727923848964
