Intervention,Avg MSE delta %,Avg LPIPS delta %,Avg Flow delta %
baseline,0.0,0.0,0.0
cfg_only,6.924848599575397,-4.8984895910498105,-23.98634110927073
steps_only,-5.947517090793475,-2.347811391579595,-25.931381091816274
prompt_only,25.978353954474944,15.959916558126004,2.5615443646922755
recommended,23.867352247913136,16.7606958813012,8.020071269885973
