hypothesis,guidance_scale,num_inference_steps,mse_mean,lpips_mean,flow_variance,flow_improvement
baseline,7.5,25,0.008141539199277759,0.10172263979911804,0.0016126837581396103,0.0
cfg_only,7.0,25,0.00838468843139708,0.10818667411804199,0.0021391066256910563,-32.6426594733444
steps_only,7.5,25,0.008141539199277759,0.10172263979911804,0.0016126837581396103,0.0
prompt_only,7.5,25,0.007533051570256551,0.08909770250320434,0.001329639577306807,17.55112739272098
recommended,7.0,25,0.00783098852261901,0.09396380533774694,0.0014102397253736854,12.55323815001796
