hypothesis,guidance_scale,num_inference_steps,mse_mean,lpips_mean,flow_variance,flow_improvement
baseline,7.5,25,0.02192168552428484,0.37664673924446107,0.3641391694545746,0.0
cfg_only,5.0,25,0.015835848512748878,0.3842481335004171,0.37462472915649414,-2.8795473218729364
steps_only,7.5,35,0.02298527111609777,0.3853032986323039,0.9722889065742493,-167.01024996310915
prompt_only,7.5,25,0.012001980189234018,0.33756135900815326,0.4867088198661804,-33.66011148847202
recommended,5.0,35,0.012385032357027132,0.34635120232899985,0.3013279139995575,17.249244443847896
