hypothesis,guidance_scale,num_inference_steps,mse_mean,lpips_mean,flow_variance,flow_improvement
baseline,7.5,25,0.02199483774602413,0.2967531939347585,1.376939296722412,0.0
cfg_only,6.5,25,0.016848004454125962,0.28071098725001015,0.9069399237632751,34.133630587629874
steps_only,7.5,30,0.021073565414796273,0.28940279434124627,1.4941825866699219,-8.51477550438055
prompt_only,7.5,25,0.008689600415527821,0.1554233322540919,0.68609619140625,50.172371938298646
recommended,6.5,30,0.009608406014740467,0.16412235746781031,1.4261020421981812,-3.570436662879275
