hypothesis,guidance_scale,num_inference_steps,mse_mean,lpips_mean,flow_variance,flow_improvement
baseline,7.5,25,0.017922048394878706,0.33447183966636657,1.5990761518478394,0.0
cfg_only,6.0,25,0.01843012621005376,0.3410216530164083,1.8517225980758667,-15.799525615842466
steps_only,7.5,40,0.022120312601327897,0.3508236567179362,2.0654406547546387,-29.16462123257132
prompt_only,7.5,25,0.016381845436990262,0.26260154843330386,3.107389211654663,-94.3240294131
recommended,6.0,40,0.02010614238679409,0.31044067641099293,3.178093194961548,-98.74558139642373
