hypothesis,guidance_scale,num_inference_steps,mse_mean,lpips_mean,flow_variance,flow_improvement
baseline,7.5,25,0.00859029070318987,0.13227935942510763,3.675717830657959,0.0
cfg_only,7.0,25,0.010070868907496333,0.1483138548831145,3.861827850341797,-5.063229231894656
steps_only,7.5,35,0.009758062443385522,0.14814475526412327,0.5024357438087463,86.33094902938157
prompt_only,7.5,25,0.008150402984271447,0.13581541726986568,0.9807424545288086,73.31834216574632
recommended,7.0,35,0.007110491441562772,0.09348210121194521,0.14878441393375397,95.95223516090402
