video,mean_mse_best_steps,mean_mse_best_val,mean_mse_worst_steps,mean_mse_worst_val,mean_mse_trend,mean_lpips_best_steps,mean_lpips_best_val,mean_lpips_worst_steps,mean_lpips_worst_val,mean_lpips_trend,mean_flow_magnitude_best_steps,mean_flow_magnitude_best_val,mean_flow_magnitude_worst_steps,mean_flow_magnitude_worst_val,mean_flow_magnitude_trend,flow_magnitude_variance_best_steps,flow_magnitude_variance_best_val,flow_magnitude_variance_worst_steps,flow_magnitude_variance_worst_val,flow_magnitude_variance_trend,mean_warp_error_best_steps,mean_warp_error_best_val,mean_warp_error_worst_steps,mean_warp_error_worst_val,mean_warp_error_trend,warp_error_variance_best_steps,warp_error_variance_best_val,warp_error_variance_worst_steps,warp_error_variance_worst_val,warp_error_variance_trend,flicker_index_best_steps,flicker_index_best_val,flicker_index_worst_steps,flicker_index_worst_val,flicker_index_trend,temporal_consistency_score_best_steps,temporal_consistency_score_best_val,temporal_consistency_score_worst_steps,temporal_consistency_score_worst_val,temporal_consistency_score_trend
birds_flying,15,0.03323936847349008,50,0.06125471889972687,Fewer steps better,15,0.20896434982617695,50,0.2596265941858292,Fewer steps better,15,5.198177687327067,50,8.178386974334718,Fewer steps better,15,0.3264552342663733,50,0.9722387821641495,Fewer steps better,15,0.03855355369548003,50,0.06540711969137192,Fewer steps better,15,3.146282538964561e-05,50,6.072743228472584e-05,Fewer steps better,15,0.2048772530896323,50,0.2896708995103836,Fewer steps better,15,13.850373383721939,50,19.297521679502566,Fewer steps better
corgi_beach,15,0.0062930301763117315,50,0.010818779561668634,Fewer steps better,20,0.1842828094959259,50,0.25089215437571205,Fewer steps better,15,2.992619593938192,50,5.062204678853353,Fewer steps better,15,0.10052569388859005,40,0.5020141344521749,Fewer steps better,15,0.007083383078376452,40,0.011747412973393996,Fewer steps better,15,7.927459317264238e-06,40,1.7604164712002385e-05,Fewer steps better,15,0.09513535137687411,50,0.1252871107842241,Fewer steps better,20,10.049826933100483,50,14.401075791901667,Fewer steps better
landscape,15,0.0032001879066228867,50,0.005457867216318846,Fewer steps better,15,0.08957578192154567,40,0.100374473631382,Mixed,15,0.2811379065116247,50,0.34961736798286436,Fewer steps better,15,0.001115490746735844,40,0.002350676583803959,Fewer steps better,15,0.00317765997024253,50,0.005549885674069325,Fewer steps better,15,4.934438472546132e-06,50,1.0634930541340526e-05,Fewer steps better,15,0.07312483579984733,50,0.09302594033735138,Fewer steps better,15,5.3480752858528495,40,5.999349029989542,Mixed
mig21_missile,20,0.002803529298398644,50,0.007495256032173833,Fewer steps better,15,0.1234762320915858,50,0.24348080158233643,Fewer steps better,30,0.5641225675741831,50,4.947011009852091,Fewer steps better,30,0.0188992769769966,40,1.691489659136296,Fewer steps better,20,0.0029771818313747644,50,0.007764159686242541,Fewer steps better,20,3.757126303583155e-06,50,1.567830085381155e-05,Fewer steps better,15,0.06557615447257246,50,0.11264382994600705,Fewer steps better,15,7.06578759467936,50,13.778404868497233,Fewer steps better
portrait,40,0.0019463098821385454,15,0.0021818420578104754,Mixed,50,0.06394738977154096,20,0.06993203610181808,Mixed,40,0.2761279215415319,15,0.3889446715513865,More steps better,40,0.0013908619567935688,15,0.0059445376580799176,More steps better,40,0.0020711501866268614,15,0.0024511566657262544,More steps better,15,4.510237176133112e-06,20,5.6978226761553446e-06,Mixed,40,0.056203912012279034,15,0.05954966853771891,Mixed,50,3.833244615737596,20,4.145489013134739,Mixed
woman_waving,50,0.003552903386298567,15,0.004534070248094698,More steps better,50,0.1132794439792633,20,0.16543867488702138,More steps better,50,0.9007536590099334,30,1.4301785429318745,More steps better,20,0.09295724109133073,50,0.18470229629603022,Fewer steps better,50,0.004327427929577728,15,0.005313608197805782,More steps better,30,3.1872517243754636e-06,15,9.282029114560218e-06,More steps better,20,0.06565711407789163,15,0.07816254932965551,Mixed,50,6.764990414175586,20,9.583376462789277,More steps better
