metric,avg_improvement_pct,std_improvement_pct,wins,losses,neutral,verdict
mean_mse,-22.627815077349712,78.18453700165752,3,2,1,Helps
mean_lpips,0.5780237317028453,21.533733782159402,2,1,3,Helps
mean_flow_magnitude,-20.219420098564687,83.31854149814333,3,3,0,Mixed
flow_magnitude_variance,-1780.124708436516,3956.355910994693,4,2,0,Helps
mean_warp_error,-27.775931300818247,91.32233724673756,3,2,1,Helps
warp_error_variance,-85.03037580498516,130.9085148644949,2,4,0,Hurts
flicker_index,-6.580235874131422,27.769968921705402,3,2,1,Helps
temporal_consistency_score,-0.48446958496895337,23.974943854045204,3,2,1,Helps
