video,mean_mse_baseline,mean_mse_enhanced,mean_mse_change_pct,mean_mse_verdict,mean_lpips_baseline,mean_lpips_enhanced,mean_lpips_change_pct,mean_lpips_verdict,mean_flow_magnitude_baseline,mean_flow_magnitude_enhanced,mean_flow_magnitude_change_pct,mean_flow_magnitude_verdict,flow_magnitude_variance_baseline,flow_magnitude_variance_enhanced,flow_magnitude_variance_change_pct,flow_magnitude_variance_verdict,mean_warp_error_baseline,mean_warp_error_enhanced,mean_warp_error_change_pct,mean_warp_error_verdict,warp_error_variance_baseline,warp_error_variance_enhanced,warp_error_variance_change_pct,warp_error_variance_verdict,flicker_index_baseline,flicker_index_enhanced,flicker_index_change_pct,flicker_index_verdict,temporal_consistency_score_baseline,temporal_consistency_score_enhanced,temporal_consistency_score_change_pct,temporal_consistency_score_verdict,total_wins,total_losses,overall_verdict
birds_flying,0.03777552271882693,0.021888249119122825,42.05705826483786,Improved,0.21666303674379986,0.21822951038678487,-0.7229999479963618,Neutral,6.255764547983805,3.611472495396932,42.26968633976342,Improved,0.33433579680009845,0.2390617088967009,28.49652619170856,Improved,0.04223533198237419,0.024303250511487327,42.457536449270364,Improved,4.034266407591488e-05,5.69651970578055e-05,-41.203359675531445,Worse,0.22102593311241694,0.1796705424785614,18.710650850559514,Improved,14.689434286450062,13.334134984592861,9.226354639860885,Improved,6,1,Helps
corgi_beach,0.00886944994951288,0.006386156240478158,27.998283131087593,Improved,0.21432466308275858,0.18636117080847422,13.047258244603716,Improved,5.416814994812012,5.887143389383952,-8.682747980545761,Worse,0.45374527220876787,0.38623663566019073,14.878091449846877,Improved,0.009779789919654528,0.0072409752601136764,25.95980773000629,Improved,1.5231287249688154e-05,8.721185613352211e-06,42.741637851188386,Improved,0.11694914208991188,0.09836712319936071,15.888974094624048,Improved,11.778216519821648,10.594249718907355,10.052173849256265,Improved,7,1,Helps
landscape,0.004491347330622375,0.004519113712012768,-0.6182194193951558,Neutral,0.09700839072465897,0.09706040720144908,-0.05362059549853666,Neutral,0.3306559642155965,0.258942574262619,21.68821908992346,Improved,0.0017019268642297744,0.0012477873125673019,26.683846480559453,Improved,0.004527015945253273,0.00454109450802207,-0.310989909005258,Neutral,7.233808949196823e-06,1.0843679980306732e-05,-49.90276984728381,Worse,0.08572944439947605,0.08781733417085238,-2.4354406890208353,Neutral,5.825040205244093,5.955587444930225,-2.241138860614283,Neutral,2,1,Helps
mig21_missile,0.0038304992175350588,0.007015202535937229,-83.14068578381122,Worse,0.13792497515678406,0.1402869040767352,-1.712473696128089,Neutral,4.144469912846883,7.3516695658365885,-77.38503886946168,Worse,0.16771350262751689,0.5470222328281387,-226.16469411115162,Worse,0.004224146467943986,0.007487174061437448,-77.24702773106425,Worse,5.361675589733337e-06,1.3581858626891359e-05,-153.31369642912048,Worse,0.08012245116489274,0.11008363483207566,-37.39424247708365,Worse,7.557529937636424,8.004201837719751,-5.91028952275671,Worse,0,7,Hurts
portrait,0.002008463100840648,0.005380304848464827,-167.88168755566804,Worse,0.07001494367917378,0.09767020866274834,-39.49908909489093,Worse,0.31089350978533425,0.8513095080852509,-173.82672242758076,Worse,0.002577885252733346,0.27644932836739616,-10623.880284208748,Worse,0.002142882999032736,0.006617069275428851,-208.79284022579364,Worse,5.370586105552098e-06,2.3637175436692823e-05,-340.1228277907465,Worse,0.05733925583107131,0.08657592056053025,-50.98891554434164,Worse,4.201415720519961,6.157140650876511,-46.549188665255734,Worse,0,8,Hurts
woman_waving,0.003514580576059719,0.0019042573636397719,45.81836089885067,Improved,0.1360502526164055,0.09195763443907103,32.40906748012727,Improved,1.217350689570109,0.3089625914891561,74.6200832565132,Improved,0.1840905243572914,0.0014022845722104506,99.23826357868978,Improved,0.004388136835768819,0.002137991281536718,51.27792588167699,Improved,4.09153666649965e-06,2.7978434641720695e-06,31.61876106158295,Improved,0.06388734946293491,0.05319416695939643,16.737558520474025,Improved,7.990719511028335,5.3925154031965405,32.515271049695855,Improved,8,0,Helps
